NCESID,StudentTestID,StudentLocalID,StudentGradeLevel,TestDate,TestName,TestTypeName,TestSubjectName,TestGradeLevel,Score1Label,Score1Type,Score1Value,Score2Label,Score2Type,Score2Value,Score3Label,Score3Type,Score3Value,Score4Label,Score4Type,Score4Value
373737,1712560, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,238,CPI,Scale,75, , , 
373737,1007570, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,252,CPI,Scale,100, , , 
373737,1347722, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,240,CPI,Scale,100, , , 
373737,1852218, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,2 - W,Scaled Score,Scale,214,CPI,Scale,25, , , 
373737,1931570, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,250,CPI,Scale,100, , , 
373737,1110628, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,250,CPI,Scale,100, , , 
373737,1744494, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,228,CPI,Scale,50, , , 
373737,1206310, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,2 - W,Scaled Score,Scale,208,CPI,Scale,0, , , 
373737,1358692, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,230,CPI,Scale,75, , , 
373737,1420704, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,238,CPI,Scale,75, , , 
373737,1847404, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,240,CPI,Scale,100, , , 
373737,1507404, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,234,CPI,Scale,75, , , 
373737,1294872, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,220,CPI,Scale,50, , , 
373737,1606262, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,5 - A,Scaled Score,Scale,262,CPI,Scale,100, , , 
373737,1759395, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,2 - W,Scaled Score,Scale,218,CPI,Scale,25, , , 
373737,1084960, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,220,CPI,Scale,50, , , 
373737,1011692, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,2 - W,Scaled Score,Scale,214,CPI,Scale,25, , , 
373737,1092794, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,224,CPI,Scale,50, , , 
373737,1858174, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,242,CPI,Scale,100, , , 
373737,1105994, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,2 - W,Scaled Score,Scale, ,CPI,Scale,100, , , 
373737,1649393, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,226,CPI,Scale,50, , , 
373737,1585223, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,238,CPI,Scale,75, , , 
373737,1168971, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,246,CPI,Scale,100, , , 
373737,1992374, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,220,CPI,Scale,50, , , 
373737,1325422, ,3,4/1/20,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,252,CPI,Scale,100, , , 
373737,1707277, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3 - NI,Scaled Score,Scale,232,CPI,Scale,75, , , 
373737,1223505, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3 - NI,Scaled Score,Scale,220,CPI,Scale,50, , , 
373737,1850355, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3 - NI,Scaled Score,Scale,232,CPI,Scale,75, , , 
373737,1382899, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3 - NI,Scaled Score,Scale,232,CPI,Scale,75, , , 
373737,1539353, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3 - NI,Scaled Score,Scale,238,CPI,Scale,75, , , 
373737,1536615, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3 - NI,Scaled Score,Scale,220,CPI,Scale,50, , , 
373737,1470518, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,242,CPI,Scale,100, , , 
373737,1570107, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,2 - W,Scaled Score,Scale, ,CPI,Scale,100, , , 
373737,1873454, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,254,CPI,Scale,100, , , 
373737,1619446, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3 - NI,Scaled Score,Scale,234,CPI,Scale,75, , , 
373737,1147139, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3 - NI,Scaled Score,Scale,220,CPI,Scale,50, , , 
373737,1132868, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,242,CPI,Scale,100, , , 
373737,1336451, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,2 - W,Scaled Score,Scale, ,CPI,Scale,100, , , 
373737,1349232, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3 - NI,Scaled Score,Scale,226,CPI,Scale,50, , , 
373737,1075046, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,256,CPI,Scale,100, , , 
373737,1864228, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3 - NI,Scaled Score,Scale,224,CPI,Scale,50, , , 
373737,1791284, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,5 - A,Scaled Score,Scale,262,CPI,Scale,100, , , 
373737,1596742, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,2 - W,Scaled Score,Scale,216,CPI,Scale,25, , , 
373737,1891149, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,2 - W,Scaled Score,Scale, ,CPI,Scale,100, , , 
373737,1419579, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,5 - A,Scaled Score,Scale,280,CPI,Scale,100, , , 
373737,1339404, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,254,CPI,Scale,100, , , 
373737,1393375, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,250,CPI,Scale,100, , , 
373737,1951579, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,248,CPI,Scale,100, , , 
373737,1209961, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,242,CPI,Scale,100, , , 
373737,1238037, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,242,CPI,Scale,100, , , 
373737,1639017, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,5 - A,Scaled Score,Scale,268,CPI,Scale,100, , , 
373737,1767397, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,240,CPI,Scale,100, , , 
373737,1766010, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3 - NI,Scaled Score,Scale,220,CPI,Scale,50, , , 
373737,1038988, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,5 - A,Scaled Score,Scale,264,CPI,Scale,100, , , 
373737,1868470, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,248,CPI,Scale,100, , , 
373737,1206098, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3 - NI,Scaled Score,Scale,234,CPI,Scale,75, , , 
373737,1494742, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,252,CPI,Scale,100, , , 
373737,1971734, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,254,CPI,Scale,100, , , 
373737,1868281, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,258,CPI,Scale,100, , , 
373737,1784758, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,2 - W,Scaled Score,Scale, ,CPI,Scale,100, , , 
373737,1560025, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3 - NI,Scaled Score,Scale,232,CPI,Scale,75, , , 
373737,1261275, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,258,CPI,Scale,100, , , 
373737,1407249, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3 - NI,Scaled Score,Scale,228,CPI,Scale,50, , , 
373737,1869993, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,252,CPI,Scale,100, , , 
373737,1004555, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,242,CPI,Scale,100, , , 
373737,1133250, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3 - NI,Scaled Score,Scale,236,CPI,Scale,75, , , 
373737,1425973, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,246,CPI,Scale,100, , , 
373737,1389433, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,2 - W,Scaled Score,Scale,218,CPI,Scale,25, , , 
373737,1169506, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3 - NI,Scaled Score,Scale,222,CPI,Scale,50, , , 
373737,1167225, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3 - NI,Scaled Score,Scale,236,CPI,Scale,75, , , 
373737,1665382, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,240,CPI,Scale,100, , , 
373737,1581061, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3 - NI,Scaled Score,Scale,238,CPI,Scale,75, , , 
373737,1085521, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,244,CPI,Scale,100, , , 
373737,1923853, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3 - NI,Scaled Score,Scale,238,CPI,Scale,75, , , 
373737,1809333, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,240,CPI,Scale,100, , , 
373737,1044413, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3 - NI,Scaled Score,Scale,238,CPI,Scale,75, , , 
373737,1382497, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4 - P,Scaled Score,Scale,244,CPI,Scale,100, , , 
373737,1373944, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,2 - W,Scaled Score,Scale,218,CPI,Scale,25, , , 
373737,1348175, ,4,4/1/20,MCAS,MCAS ELA,ELA,4,Performance Level,Level,5 - A,Scaled Score,Scale,268,CPI,Scale,100, , , 
373737,1363350, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,3 - NI,Scaled Score,Scale,228,CPI,Scale,50, , , 
373737,1524959, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,242,CPI,Scale,100, , , 
373737,1256644, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,242,CPI,Scale,100, , , 
373737,1685904, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,252,CPI,Scale,100, , , 
373737,1224161, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,256,CPI,Scale,100, , , 
373737,1746394, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,5 - A,Scaled Score,Scale,268,CPI,Scale,100, , , 
373737,1117119, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,5 - A,Scaled Score,Scale,262,CPI,Scale,100, , , 
373737,1405683, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,3 - NI,Scaled Score,Scale,234,CPI,Scale,75, , , 
373737,1807646, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,256,CPI,Scale,100, , , 
373737,1667951, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,5 - A,Scaled Score,Scale,266,CPI,Scale,100, , , 
373737,1334361, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,250,CPI,Scale,100, , , 
373737,1163567, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,5 - A,Scaled Score,Scale,262,CPI,Scale,100, , , 
373737,1588330, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,246,CPI,Scale,100, , , 
373737,1707859, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,5 - A,Scaled Score,Scale,280,CPI,Scale,100, , , 
373737,1014325, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,256,CPI,Scale,100, , , 
373737,1364827, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,3 - NI,Scaled Score,Scale,230,CPI,Scale,75, , , 
373737,1129142, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,240,CPI,Scale,100, , , 
373737,1520619, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,244,CPI,Scale,100, , , 
373737,1041789, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,5 - A,Scaled Score,Scale,260,CPI,Scale,100, , , 
373737,1575225, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,250,CPI,Scale,100, , , 
373737,1703819, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,2 - W,Scaled Score,Scale,218,CPI,Scale,25, , , 
373737,1687166, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,240,CPI,Scale,100, , , 
373737,1436755, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,258,CPI,Scale,100, , , 
373737,1776027, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,240,CPI,Scale,100, , , 
373737,1162507, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,256,CPI,Scale,100, , , 
373737,1841815, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,2 - W,Scaled Score,Scale, ,CPI,Scale,100, , , 
373737,1221609, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,5 - A,Scaled Score,Scale,266,CPI,Scale,100, , , 
373737,1524861, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,252,CPI,Scale,100, , , 
373737,1230838, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,3 - NI,Scaled Score,Scale,234,CPI,Scale,75, , , 
373737,1861291, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,240,CPI,Scale,100, , , 
373737,1178602, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,244,CPI,Scale,100, , , 
373737,1925699, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,5 - A,Scaled Score,Scale,276,CPI,Scale,100, , , 
373737,1631772, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,252,CPI,Scale,100, , , 
373737,1761587, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,5 - A,Scaled Score,Scale,266,CPI,Scale,100, , , 
373737,1343102, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,258,CPI,Scale,100, , , 
373737,1211947, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,3 - NI,Scaled Score,Scale,232,CPI,Scale,75, , , 
373737,1267356, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,250,CPI,Scale,100, , , 
373737,1996757, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,3 - NI,Scaled Score,Scale,238,CPI,Scale,75, , , 
373737,1284757, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,5 - A,Scaled Score,Scale,268,CPI,Scale,100, , , 
373737,1990023, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,248,CPI,Scale,100, , , 
373737,1706786, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,3 - NI,Scaled Score,Scale,234,CPI,Scale,75, , , 
373737,1840697, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,258,CPI,Scale,100, , , 
373737,1824580, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,3 - NI,Scaled Score,Scale,220,CPI,Scale,50, , , 
373737,1208643, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,246,CPI,Scale,100, , , 
373737,1865991, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,242,CPI,Scale,100, , , 
373737,1688847, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,3 - NI,Scaled Score,Scale,230,CPI,Scale,75, , , 
373737,1549409, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,248,CPI,Scale,100, , , 
373737,1872333, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,252,CPI,Scale,100, , , 
373737,1451415, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,242,CPI,Scale,100, , , 
373737,1272088, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,5 - A,Scaled Score,Scale,268,CPI,Scale,100, , , 
373737,1592809, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,3 - NI,Scaled Score,Scale,230,CPI,Scale,75, , , 
373737,1729482, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,242,CPI,Scale,100, , , 
373737,1006404, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,5 - A,Scaled Score,Scale,262,CPI,Scale,100, , , 
373737,1561631, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,3 - NI,Scaled Score,Scale,228,CPI,Scale,50, , , 
373737,1941008, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,5 - A,Scaled Score,Scale,276,CPI,Scale,100, , , 
373737,1198862, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,5 - A,Scaled Score,Scale,272,CPI,Scale,100, , , 
373737,1480483, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,4 - P,Scaled Score,Scale,252,CPI,Scale,100, , , 
373737,1287793, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,5 - A,Scaled Score,Scale,260,CPI,Scale,100, , , 
373737,1435350, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,3 - NI,Scaled Score,Scale,228,CPI,Scale,50, , , 
373737,1599611, ,5,4/1/20,MCAS,MCAS ELA,ELA,5,Performance Level,Level,5 - A,Scaled Score,Scale,262,CPI,Scale,100, , , 
